description,amount,category
"axis upi: rs 4,478.23 to bpcl@paytm",4478.23,transport_fuel
Paid Rs 14440 to Metro Shoes via GPay,14440.49,shopping_offline
INDUSIND SMS: INR 301 DEBITED UPI TXN TO HEADSPACE@AXISBANK,301.18,subscription
Investment: Rs 66400/- to ET Money via UPI,66400.2,investment
YES BANK: RS.1727 PAID TO TOTAL ENERGIES VIA UPI REF 211787506,1727.44,transport_fuel
BOB: Rs 2203/- debited for Boat Lifestyle purchase,2202.54,shopping_online
"HDFC Alert: INR 45,004 spent at Yatra",45003.58,travel
Paid Rs 839.53 to Amazon Gift via GPay,839.53,gifts
UPI: Rs 1235 to chaayos@axisbank for purchase,1235.26,food_delivery
card **2424 used at pspcl for rs.5583/-,5583.01,bills_electricity
"CARD **5012 used at ACT Fibernet for Rs.1,331.69",1331.69,bills_telecom
"Paytm Money: SIP of Rs 23,904 debited",23904.31,investment
"Axis CC: Apollo Pharmacy Rs 6,777",6776.81,health_medical
IndusInd Credit: Rs 251206/- NEFT-Google India-SALARY,251205.86,salary
"axis: rs 2,005.03 debited from a/c **2535 for amazon.in",2005.03,shopping_online
Axis: Rs 2464 debited from a/c **4657 for HealthifyMe,2464.47,health_fitness
Uber Moto - Rs.685 paid via UPI,685.16,transport_ride
"Auto debit Rs 27,393.76 Samsung Finance loan account",27393.76,emi
UPI: Rs 1408 to indrive@okaxis for purchase,1407.84,transport_ride
Paradise Biryani - Rs.177/- paid via UPI,177.16,food_delivery
salary credited rs 260434 from bajaj auto,260433.98,salary
"Paid Rs. 77,782 to project payment via GPay",77781.89,freelance
"BOB Debit: Rs 1,531 to actfibernet@okhdfcbank UPI",1530.67,bills_telecom
UPI: Rs 5552 to lenskart@sbi for purchase,5551.71,shopping_online
ICICI: Rs 19869 debited for Unacademy purchase,19868.94,education
"Payment of Rs 1,758.36 to Namma Yatri successful",1758.36,transport_ride
"PNB: Rs 9,374.85 debited for Birthday gift purchase",9374.85,gifts
"Paid Rs 7,431 to Ferns N Petals via GPay",7430.58,gifts
IndusInd UPI: Rs 2915/- to courier@axisbank,2914.72,other
"PNB Debit: Rs 3,582 to nayaraenergy@sbi UPI",3582.22,transport_fuel
Axis: Rs 424 debited from a/c **1434 for Dropbox,423.74,subscription
"RENT TRANSFER RS 30,525 TO LANDLORD",30524.96,rent
axis debit: rs 2051/- to bigbasket@axisbank upi,2050.88,groceries
CARD **5506 used at KFC for Rs.561,560.76,food_delivery
"Rs 4,688.35/- debited CSPDCL PNB",4688.35,bills_electricity
"Rs 14,699.74/- debited Coursera ICICI",14699.74,education
"indusind cc: meesho rs 9,424",9423.53,shopping_online
ICICI SMS: INR 4110 debited UPI txn to milkbasket@ybl,4110.05,groceries
"BOB: Rs.1,053.53 paid to Pune Municipal Water via UPI Ref 215834822",1053.53,bills_water
"sbi debit: rs 1,624.59 to ajio@axl upi",1624.59,shopping_online
"Paid Rs 2,445 to Snapdeal via GPay",2445.28,shopping_online
Rs 1050/-/- debited Municipal Water Canara,1049.68,bills_water
"indusind alert: inr 6,754.42 spent at fastag",6754.42,other
"ICICI: Rs 4,872.53 debited for Essar Petrol purchase",4872.53,transport_fuel
"Yes Bank CC: Fun Cinemas Rs. 1,338.64",1338.64,entertainment
"PhonePe: Rs 9,834.57 paid to Amazon Gift",9834.57,gifts
"MONTHLY RENT RS 12,959 PAID VIA UPI",12959.49,rent
Yes Bank: Rs. 57451 debited from a/c **7912 for design work,57451.42,freelance
"Yes Bank SMS: INR 1,512.83 debited UPI txn to voot@kotak",1512.83,entertainment
PHONEPE: RS 1540/- PAID TO CHATGPT PLUS,1539.64,subscription
Monthly rent Rs 27990/- paid via UPI,27990.42,rent
"ICICI Debit: Rs 28,472 to abhibus@axl UPI",28472.33,travel
UPI: RS 750 TO DISHTV@ICICI FOR PURCHASE,750.42,bills_telecom
BOB CC: Swiggy Rs 1017/-,1017.25,food_delivery
Canara UPI: Rs 719 to hathway@paytm,719.27,bills_telecom
IndusInd Alert: INR 453 spent at Courier,453.23,other
"Paid Rs 7,487.81 to Flipkart Gift via GPay",7487.81,gifts
"Kotak: Rs 2,159 debited for Christmas gift purchase",2159.3,gifts
SBI Debit: Rs 46079 to redbus@icici UPI,46078.97,travel
PhonePe: Rs 363.96 paid to Adobe CC,363.96,subscription
"paid rs 2,397.71 to blinkit via gpay",2397.71,groceries
"CARD **3286 used at Tikona for Rs.1,564.84",1564.84,bills_telecom
"Payment of Rs 6,718.86 to Nykaa successful",6718.86,shopping_online
"Loan EMI Rs 44,157.77 paid to HDFC Home Loan",44157.77,emi
Cinepolis - Rs.208.68 paid via UPI,208.68,entertainment
"SBI: Rs 1,050.37 dbtd for iCloud purchase",1050.37,subscription
SBI SMS: INR 5470 debited UPI txn to delhivery@hdfcbank,5470.46,other
"Yes Bank UPI: Rs 17,666.99 to medanta@hdfcbank",17666.99,health_medical
"PhonePe: Rs 4,220 paid to Nayara Energy",4219.84,transport_fuel
"Rs 38,388.82/- debited Vistara ICICI",38388.82,travel
indusind cc: rakhi gift rs 1831,1831.3,gifts
"PNB Debit: Rs 9,557 to giftcard@ybl UPI",9557.49,gifts
Jawed Habib - Rs..659/- paid via UPI,659.1,personal_care
"rs 71,064.62/- debited upwork kotak",71064.62,freelance
UPI: Rs 2925 to ajio@okaxis for purchase,2925.2,shopping_online
"phonepe: rs 1,905.21 paid to act fibernet",1905.21,bills_telecom
"SBI: Rs 3,762 debited from a/c **5012 for FASTag",3761.61,other
"AXIS: RS.1,872.78 PAID TO SPA VIA UPI REF 286093591",1872.78,personal_care
Investment: Rs 49525/- to HDFC MF via UPI,49524.83,investment
PhonePe: Rs 1125 paid to La Pinos,1125.07,food_delivery
PhonePe: Rs 3909/- paid to Wedding gift,3908.83,gifts
"Paid Rs 2,980.15 to Metro Cash via GPay",2980.15,groceries
"Paid Rs 91,947 to project payment via GPay",91947.32,freelance
"sbi cc: printing rs 8,357",8356.65,other
icici: rs 1350/- debited from a/c **2679 for anytime fitness,1349.81,health_fitness
"Canara Alert: INR 1,680 spent at Tikona",1680.2,bills_telecom
"CARD **7873 used at Archies for Rs.7,281",7281.2,gifts
SBI: Rs 1628/- debited for Apple TV+ purchase,1628.21,entertainment
Paid Rs. 2387 to Flipkart Grocery via GPay,2387.39,groceries
"Payment of Rs 1,257.55 to Airtel successful",1257.55,bills_telecom
FabHotels - Rs.5538/- paid via UPI,5537.71,travel
Yes Bank Debit: Rs. 91840 to clientpaymen@icici UPI,91839.99,freelance
"PhonePe: Rs. 1,397 paid to FreshMenu",1397.3,food_delivery
CANARA SMS: INR 17201/- DEBITED UPI TXN TO GEEKSFORGEEK@OKHDFCBANK,17201.14,education
yes bank credit: rs 77930 neft-infosys-salary,77930.04,salary
"Monthly salary credit INR 216,180.91 ICICI Bank",216180.91,salary
CARD **3286 used at Cult.fit for Rs.1202,1201.55,health_fitness
"Axis: Rs. 1,999 debited from a/c **1488 for HMWSSB",1998.95,bills_water
Rs 4363/-/- dbtd Indane Gas HDFC,4362.51,transport_fuel
payment of rs 1062/- to zee5 successful,1061.66,entertainment
"Kotak: Rs..3,478 paid to Max Fashion via UPI Ref 714483748",3478.3,shopping_offline
"IndusInd: Rs 1,803 debited from a/c **9279 for Naturals Salon",1803.24,personal_care
Monthly salary credit INR 147312 HCL Tech,147312.14,salary
"Paid Rs 2,889.88 to BlueDart via GPay",2889.88,other
"Axis: Rs 5,291 debited for TATA Power purchase",5290.75,bills_electricity
"HDFC Debit: Rs 1,030 to lifestyle@ybl UPI",1029.74,shopping_offline
"Axis: Rs 3,310 debited from a/c **2679 for CESC",3309.84,bills_electricity
card **4657 used at fitness first for rs.1649,1649.11,health_fitness
Paid Rs 897 to WBSEDCL via GPay,896.56,bills_electricity
"Auto debit Rs 28,459 HDFC Home Loan loan account",28458.9,emi
"Axis CC: PCMC Water Rs 1,078",1078.34,bills_water
Canara: Rs.11966 paid to Westside via UPI Ref 204855083,11965.61,shopping_offline
"Kotak: Rs.1,542 paid to Rapido Bike via UPI Ref 113598909",1541.64,transport_ride
sbi alert: inr 2945 spent at reliance trends,2945.27,shopping_offline
"Payment of Rs 4,449 to Anytime Fitness successful",4449.37,health_fitness
"CARD **7912 used at Medanta for Rs.14,068.81",14068.81,health_medical
"ICICI CC: development work Rs 13,842.24",13842.24,freelance
"MONTHLY SALARY CREDIT INR 90,897 INFOSYS",90897.21,salary
"Payment of Rs 5,347.66 to Diwali gift successful",5347.66,gifts
"Axis: Rs 3,607.30 debited for Bajaj Finance EMI EMI",3607.3,emi
Canara: Rs 7492 debited for Diwali gift purchase,7492.2,gifts
coin by zerodha - rs 18903/- invested in mutual fund,18902.98,investment
Auto debit Rs 4752/- Bajaj Auto Finance loan account,4751.93,emi
Axis: Rs 17708 debited from a/c **7912 for Max Fashion,17708.17,shopping_offline
PHONEPE: RS 1350/- PAID TO TALWALKARS,1349.94,health_fitness
PNB SMS: INR 401 debited UPI txn to d2h@sbi,400.57,bills_telecom
"UPI: Rs 22,405.53 to udemy@sbi for purchase",22405.53,education
Canara: Rs.5668 paid to BSES Yamuna via UPI Ref 254990533,5667.63,bills_electricity
"BOB SMS: INR 3,702.65 debited UPI txn to amazongift@okaxis",3702.65,gifts
"ICICI UPI: Rs 47,645 to abhibus@paytm",47644.64,travel
Paid Rs 27145 to Scaler Academy via GPay,27144.63,education
"Kotak UPI: Rs 4,193 to irctc@ybl",4193.06,travel
CARD **4257 used at Tanishq for Rs.18033/-,18033.44,shopping_offline
CARD **7912 used at Headspace for Rs.88,88.0,subscription
"UPI: Rs 23,486.20 to thyrocare@paytm for purchase",23486.2,health_medical
SBI: Rs 12953 debited for Central purchase,12952.54,shopping_offline
Rs 3353/- debited Ferns N Petals Yes Bank,3352.62,gifts
Paid Rs 123 to InDrive via GPay,122.58,transport_ride
IndusInd SMS: INR 2189 debited UPI txn to healthifyme@okhdfcbank,2188.78,health_fitness
PhonePe: Rs 1994 paid to Hathway,1993.96,bills_telecom
"BOB: Rs 44,336 NEFT to Office rent",44336.01,rent
"PHONEPE: RS 1,447.03 PAID TO ACT FIBERNET",1447.03,bills_telecom
"Kotak: Rs 21,378 debited from a/c **2535 for AirAsia",21377.82,travel
"CARD **1409 used at Municipal Water for Rs.1,711.33",1711.33,bills_water
"IndusInd CC: CESC Rs 4,369",4368.69,bills_electricity
Yes Bank Credit: Rs 211128 NEFT-L&T-SALARY,211128.4,salary
RS 520/-/- DEBITED PARKING BOB,519.56,other
PHONEPE: RS 6744 PAID TO ADANI ELECTRICITY,6743.88,bills_electricity
Payment of Rs. 770 to Dunzo Daily successful,769.61,food_delivery
"Paid Rs 1,090.46 to Lionsgate Play via GPay",1090.46,entertainment
"INDUSIND UPI: RS 2,346.67 TO YLGSALON@ICICI",2346.67,personal_care
"HDFC SMS: INR 1,351.45 debited UPI txn to drycleaning@axl",1351.45,other
"BOB Debit: Rs 16,638 to simplilearn@sbi UPI",16637.54,education
UPI: Rs 24644 to toptal@icici for purchase,24644.24,freelance
IndusInd: Rs 80782 dbtd from a/c **9935 for Toptal,80781.51,freelance
"IndusInd Alert: INR 10,390 spent at Purplle",10390.27,shopping_online
"Payment of Rs 7,862.87 to Narayana Health successful",7862.87,health_medical
"PAYMENT OF RS 39,054 TO UDEMY SUCCESSFUL",39054.4,education
"UPI: Rs 3,250.89 to salon@icici for purchase",3250.89,personal_care
"CARD **9279 used at Airtel for Rs.1,673",1672.74,bills_telecom
Cleartrip - Rs.40310/- paid via UPI,40310.08,travel
card **1409 used at 99designs for rs.56185/-,56185.26,freelance
Rs 1429/-/- debited Amazon Fresh IndusInd,1428.55,groceries
Axis: Rs.11563 paid to Narayana Health via UPI Ref 902523694,11562.69,health_medical
Kotak: Rs 599/- debited from a/c **1488 for Google One,598.74,subscription
"IndusInd: Rs 21,452 debited for Yatra purchase",21452.25,travel
BOB Debit: Rs 11804/- to codingninjas@axl UPI,11804.41,education
PNB: RS 1021/- DEBITED FROM A/C **9279 FOR SRL DIAGNOSTICS,1021.39,health_medical
SBI Alert: INR 11485/- spent at Titan Eye Plus,11485.45,shopping_offline
PhonePe: Rs 6927/- paid to Dr Lal PathLabs,6926.93,health_medical
Rent transfer Rs 14980 to landlord,14980.06,rent
"Yes Bank Alert: INR 2,191.55 spent at ATM Withdrawal",2191.55,other
Investment: Rs 15120/- to ET Money via UPI,15119.72,investment
card **2824 used at strava for rs.972,971.54,subscription
"Axis SMS: INR 3,005.39 debited UPI txn to manyavar@kotak",3005.39,shopping_offline
"Rs 1,032/- debited Rapido Bike IndusInd",1031.97,transport_ride
SBI Alert: INR 3734 spent at Sugar Cosmetics,3734.04,shopping_online
"Payment of Rs 4,907 to HP Petrol Pump successful",4906.83,transport_fuel
indusind alert: inr 370 spent at cinepolis,369.74,entertainment
"HDFC SMS: INR 2,415 debited UPI txn to haircut@okhdfcbank",2414.74,personal_care
"Axis UPI: Rs 83,274 to contentwriti@hdfcbank",83274.07,freelance
ICICI Alert: INR 11741 spent at boAt,11741.43,shopping_online
Payment of Rs 280 to Grammarly successful,280.4,subscription
"HDFC Alert: INR 1,137.08 spent at Disney+ Hotstar",1137.08,entertainment
Canara Debit: Rs 21965/- to vistara@sbi UPI,21964.9,travel
BOB: Rs.933.51 paid to Excitel via UPI Ref 742028580,933.51,bills_telecom
Kotak SMS: INR 2305/- debited UPI txn to fastag@okhdfcbank,2305.06,other
Rs 2092/-/- debited Rapido Bike Canara,2091.74,transport_ride
"CARD **9935 used at BluSmart for Rs.1,624",1624.5,transport_ride
SBI CC: Chicago Pizza Rs 778/-,778.25,food_delivery
Kotak CC: Bata Rs 13316,13316.46,shopping_offline
Payment of Rs 242.15 to Uber Moto successful,242.15,transport_ride
Kotak: Rs.1379/- paid to Spa via UPI Ref 711744649,1379.28,personal_care
"SBI: Rs 3,650.08 debited for Indane Gas purchase",3650.08,transport_fuel
Paid Rs 6957 to Sugar Cosmetics via GPay,6956.84,shopping_online
PhonePe: Rs 1765/- paid to Indane Gas,1765.41,transport_fuel
UPI: Rs 45274/- to udemy@ybl for purchase,45274.47,education
RS 620/- DEBITED BWSSB YES BANK,619.56,bills_water
"CARD **4657 used at Physics Wallah for Rs.42,658",42658.34,education
UPI: Rs. 5940/- to giftcard@paytm for purchase,5940.09,gifts
Payment of Rs 1548/- to MTNL successful,1547.92,bills_telecom
"paid rs 1,836 to apple tv+ via gpay",1835.53,entertainment
phonepe: rs 149 paid to voot,149.01,entertainment
Zepto Cafe - Rs.269 paid via UPI,269.34,food_delivery
"Mirae Asset: SIP of Rs 41,306.10 dbtd",41306.1,investment
HDFC CC: Dropbox Rs 1586,1585.54,subscription
CANARA DEBIT: RS 6346/- TO FLIPKARTGIFT@AXISBANK UPI,6345.78,gifts
ICICI SMS: INR 4306/- DEBITED UPI TXN TO NATURESBASKE@SBI,4306.19,groceries
"UPI: Rs 7,912.86 to pspcl@kotak for purchase",7912.86,bills_electricity
"ICICI Debit: Rs 2,025.11 to autorickshaw@paytm UPI",2025.11,transport_ride
Payment of Rs 1546 to Spar Hypermarket successful,1545.62,groceries
"card **4657 used at jaipur water for rs.1,249.39",1249.39,bills_water
"SBI UPI: Rs. 1,436 to indrive@ybl",1436.35,transport_ride
"SBI: Rs 1,489 debited for McDonalds purchase",1489.01,food_delivery
BOB CC: Uber Auto Rs 224,223.53,transport_ride
"sbi cc: medplus rs 11,449.95",11449.95,health_medical
"HDFC CC: BPCL Rs 1,214",1213.71,transport_fuel
"PG rent payment Rs 17,548 for Jul",17548.44,rent
"Payment of Rs 10,332.68 to boAt successful",10332.68,shopping_online
SBI: RS 1778 DEBITED FOR TATA PLAY PURCHASE,1778.11,bills_telecom
CARD **4257 USED AT EXCITEL FOR RS.1183,1183.07,bills_telecom
UPI: Rs 235/- to indianoil@kotak for purchase,235.27,transport_fuel
"PhonePe: Rs 2,973.83 paid to Spa",2973.83,personal_care
Paid Rs 395/- to Burger King via GPay,394.67,food_delivery
UPI: RS 519 TO FUNCINEMAS@OKHDFCBANK FOR PURCHASE,519.06,entertainment
UPI: Rs. 1034/- to hmwssb@okaxis for purchase,1033.76,bills_water
PNB UPI: Rs 3272 to cesc@sbi,3272.3,bills_electricity
BOB SMS: INR 263.80 debited UPI txn to pvr@hdfcbank,263.8,entertainment
"Rs 8,890/- debited Tanishq SBI",8890.34,shopping_offline
Payment of Rs 12819/- to Manipal Hospital successful,12818.82,health_medical
"CARD **4257 used at D2H for Rs.1,208.16",1208.16,bills_telecom
UPI: Rs 699 to zeptocafe@okaxis for purchase,698.52,food_delivery
"SBI: Rs 23,093 NEFT to Society maintenance",23092.91,rent
"Canara Alert: INR 49,903 spent at development work",49902.73,freelance
"card **1409 used at google one for rs.1,426.61",1426.61,subscription
BOB UPI: Rs 11279/- to medplus@kotak,11279.3,health_medical
"Salary credited Rs 287,252.53 from TCS",287252.53,salary
Vi Vodafone - Rs.1217/- paid via UPI,1216.74,bills_telecom
"monthly rent rs 11,405.29 paid via upi",11405.29,rent
PNB: Rs.284.96 paid to Flipkart Grocery via UPI Ref 741288486,284.96,groceries
INDUSIND DEBIT: RS 2394/- TO BIRTHDAYGIFT@AXL UPI,2393.58,gifts
Paid Rs 17904 to Titan Eye Plus via GPay,17903.57,shopping_offline
"Investment: Rs 63,924 to ET Money via UPI",63924.0,investment
"hdfc cc: printing rs 4,118",4118.13,other
IndusInd: Rs.400 paid to Namma Yatri via UPI Ref 755325292,399.99,transport_ride
CARD **9279 used at Zee5 for Rs.1702,1701.75,entertainment
"Salary credited Rs 256,853 from Google India",256852.71,salary
SBI Debit: Rs 1249/- to notion@hdfcbank UPI,1249.28,subscription
IndusInd: Rs 14372/- debited from a/c **2824 for Physics Wallah,14372.17,education
"IndusInd: Rs.2,332.22 paid to Miscellaneous via UPI Ref 287893255",2332.22,other
Axis Alert: INR 19645 spent at Allen Career,19644.97,education
SBI DEBIT: RS 1065 TO VLCC@KOTAK UPI,1064.88,personal_care
CARD **7873 used at Theobroma for Rs.889/-,888.94,food_delivery
Axis Debit: Rs 692 to pcmcwater@okhdfcbank UPI,691.78,bills_water
"Axis: Rs 6,816.49 debited from a/c **2424 for Miscellaneous",6816.49,other
HDFC SMS: INR 22699/- DEBITED UPI TXN TO PHYSICSWALLA@AXISBANK,22699.18,education
HDFC UPI: Rs 895 to rapido@paytm,895.17,transport_ride
"HDFC: Rs. 5,587.42 debited from a/c **7873 for Dry cleaning",5587.42,other
"SBI CC: The Quad Rs 4,656",4656.23,health_fitness
CARD **1488 used at BigBasket for Rs.2894/-,2894.38,groceries
Yes Bank CC: VLCC Rs 836,835.5,personal_care
HDFC Debit: Rs 829 to adanielectri@icici UPI,829.29,bills_electricity
"upi: rs 21,862.02 to aiims@axl for purchase",21862.02,health_medical
CARD **4257 used at FreshMenu for Rs.430,430.21,food_delivery
SBI: Rs 41154 debited for Zerodha MF purchase,41154.39,investment
Axis UPI: Rs 162/- to autorickshaw@ybl,162.0,transport_ride
"SBI Debit: Rs 1,921 to pepperfry@icici UPI",1920.77,shopping_online
"Ola Auto - Rs.1,537 paid via UPI",1536.97,transport_ride
"Salary for Jun - Rs 269,567 from Infosys",269567.23,salary
"IndusInd UPI: Rs 2,555 to spa@okhdfcbank",2554.58,personal_care
Yes Bank: Rs 11362 debited for Practo purchase,11361.53,health_medical
"Motilal Oswal: SIP of Rs 13,669.45 debited",13669.45,investment
"CARD **9935 USED AT YOGA HOUSE FOR RS.2,255.28",2255.28,health_fitness
"Salary for Jul - Rs 38,743 from ICICI Bank",38742.79,salary
SBI UPI: Rs 1720 to hmwssb@axl,1720.17,bills_water
IndusInd: Rs 45095 NEFT to Office rent,45094.81,rent
UPI: RS 1632/- TO LAKMESALON@HDFCBANK FOR PURCHASE,1631.7,personal_care
Coding Ninjas - Rs.12937 paid via UPI,12936.83,education
"UPI: Rs 22,193 to indigo@ybl for purchase",22192.51,travel
Yes Bank: Rs 6888 NEFT to Rent to owner,6888.09,rent
BOB: Rs 33015/- NEFT to Landlord,33014.64,rent
"BOB Debit: Rs 7,270 to xerox@ybl UPI",7270.01,other
"DSP MF: SIP of Rs 66,894 debited",66894.0,investment
"BOB SMS: INR 3,329.93 debited UPI txn to thyrocare@paytm",3329.93,health_medical
"Canara: Rs.4,053 paid to Apollo Pharmacy via UPI Ref 795657256",4052.89,health_medical
Rs 223.85/- debited Airtel PNB,223.85,bills_telecom
"Groww: SIP of Rs 51,927 debited",51926.77,investment
Rs 11135/-/- debited Kalyan Jewellers HDFC,11134.87,shopping_offline
5Paisa: SIP of Rs 99495 debited,99495.42,investment
"payment of rs 4,192.53 to christmas gift successful",4192.53,gifts
"BOB: Rs 19,174 NEFT to Flat rent",19174.25,rent
"Monthly rent Rs 17,436 paid via UPI",17436.36,rent
PNB SMS: INR 473.00 debited UPI txn to diwaligift@sbi,473.0,gifts
"PNB: Rs 3,027 debited for Pantaloons purchase",3026.59,shopping_offline
"rs 2,481.69/- debited toll plaza sbi",2481.69,other
"IndusInd Debit: Rs 2,659.01 to essarpetrol@sbi UPI",2659.01,transport_fuel
Paid Rs 78344/- to Upwork via GPay,78343.51,freelance
Rs 1733/-/- debited JioMart Yes Bank,1733.47,groceries
"Scaler Academy - Rs.33,478 paid via UPI",33478.02,education
"CARD **7912 used at HealthifyMe for Rs.3,479",3479.25,health_fitness
UPI: Rs 67548 to peopleperhou@ybl for purchase,67548.46,freelance
Yes Bank Debit: Rs. 1317 to paradisebiry@axisbank UPI,1316.59,food_delivery
ICICI: Rs 37523/- debited from a/c **4811 for Yatra,37522.77,travel
"SBI DEBIT: RS 4,449.54 TO NAYARAENERGY@AXISBANK UPI",4449.54,transport_fuel
CARD **1520 used at Calm for Rs.476,475.85,subscription
KOTAK DEBIT: RS 845 TO SPA@PAYTM UPI,845.45,personal_care
"CARD **4657 used at Municipal Water for Rs.1,985.85",1985.85,bills_water
"HDFC: Rs.4,785.70 paid to Thai Spa via UPI Ref 965942293",4785.7,personal_care
"Yes Bank SMS: INR 1,153 debited UPI txn to strava@hdfcbank",1153.13,subscription
